antecedents	consequents	antecedent support	consequent support	support	confidence	lift	leverage	conviction
frozenset({'age=(45.0, 95.0]'})	frozenset({'housing=no'})	0.3195682466656345	0.44416181902634316	0.1834066930614231	0.5739202657807309	1.2921422805743052	0.04146667931935577	1.3045402921876856
frozenset({'housing=no'})	frozenset({'age=(45.0, 95.0]'})	0.44416181902634316	0.3195682466656345	0.1834066930614231	0.41292764304566504	1.2921422805743052	0.04146667931935577	1.1590253659095253
frozenset({'default=no', 'marital=married'})	frozenset({'age=(45.0, 95.0]'})	0.5920240649399482	0.3195682466656345	0.2364911194178408	0.3994620040349698	1.2500053062309675	0.04729902700111982	1.1330369733574486
frozenset({'age=(45.0, 95.0]'})	frozenset({'default=no', 'marital=married'})	0.3195682466656345	0.5920240649399482	0.2364911194178408	0.7400332225913621	1.2500053062309673	0.04729902700111982	1.5693387406143842
frozenset({'y=no', 'age=(45.0, 95.0]'})	frozenset({'marital=married'})	0.27977704540930304	0.6019331578598128	0.2105239875251598	0.7524705510317021	1.2500898832473832	0.04211690708524976	1.6081595292977413
frozenset({'marital=married'})	frozenset({'y=no', 'age=(45.0, 95.0]'})	0.6019331578598128	0.27977704540930304	0.2105239875251598	0.34974645403101345	1.2500898832473832	0.04211690708524976	1.1076032711477863
frozenset({'loan=no', 'marital=married'})	frozenset({'age=(45.0, 95.0]'})	0.49886089668443523	0.3195682466656345	0.2009024352480591	0.40272235523632166	1.2602076690607238	0.0414823331645679	1.1392218665803044
frozenset({'age=(45.0, 95.0]'})	frozenset({'loan=no', 'marital=married'})	0.3195682466656345	0.49886089668443523	0.2009024352480591	0.6286683277962347	1.2602076690607238	0.0414823331645679	1.3495727427219533
frozenset({'default=no', 'y=no', 'age=(45.0, 95.0]'})	frozenset({'marital=married'})	0.2749773285262436	0.6019331578598128	0.20729468492181105	0.7538610038610037	1.2523998620401207	0.04177671322215404	1.6172441115969949
frozenset({'default=no', 'marital=married'})	frozenset({'y=no', 'age=(45.0, 95.0]'})	0.5920240649399482	0.27977704540930304	0.20729468492181105	0.350145707240529	1.2515169238715755	0.04165994122170699	1.1082837531662983
frozenset({'y=no', 'age=(45.0, 95.0]'})	frozenset({'default=no', 'marital=married'})	0.27977704540930304	0.5920240649399482	0.20729468492181105	0.7409281366115898	1.2515169238715755	0.04165994122170699	1.5747597200410728
frozenset({'marital=married'})	frozenset({'default=no', 'y=no', 'age=(45.0, 95.0]'})	0.6019331578598128	0.2749773285262436	0.20729468492181105	0.3443815683104285	1.2523998620401209	0.04177671322215404	1.1058607208545461
frozenset({'loan=no', 'default=no', 'marital=married'})	frozenset({'age=(45.0, 95.0]'})	0.49257923956559246	0.3195682466656345	0.1988896507487116	0.4037718904355635	1.2634918977354832	0.04147696681684368	1.1412272290071035
frozenset({'loan=no', 'marital=married'})	frozenset({'default=no', 'age=(45.0, 95.0]'})	0.49886089668443523	0.31454734467275663	0.1988896507487116	0.39868759421832045	1.267496295774171	0.04197428033555212	1.1399276794168003
frozenset({'loan=no', 'age=(45.0, 95.0]'})	frozenset({'default=no', 'marital=married'})	0.2675233903253633	0.5920240649399482	0.1988896507487116	0.7434477056634973	1.2557727796739289	0.04050936574177358	1.5902252447796732
frozenset({'default=no', 'marital=married'})	frozenset({'loan=no', 'age=(45.0, 95.0]'})	0.5920240649399482	0.2675233903253633	0.1988896507487116	0.3359485914966749	1.2557727796739286	0.04050936574177358	1.1030420239986118
frozenset({'default=no', 'age=(45.0, 95.0]'})	frozenset({'loan=no', 'marital=married'})	0.31454734467275663	0.49886089668443523	0.1988896507487116	0.6323043386541031	1.267496295774171	0.04197428033555212	1.3629181847868896
frozenset({'age=(45.0, 95.0]'})	frozenset({'loan=no', 'default=no', 'marital=married'})	0.3195682466656345	0.49257923956559246	0.1988896507487116	0.6223698781838316	1.2634918977354832	0.04147696681684368	1.343697790827771
frozenset({'loan=no', 'y=no', 'age=(45.0, 95.0]'})	frozenset({'marital=married'})	0.23096149167238061	0.6019331578598128	0.17387361482824976	0.7528251292855774	1.2506789490751173	0.03485023480188082	1.610466472540811
frozenset({'marital=married'})	frozenset({'loan=no', 'y=no', 'age=(45.0, 95.0]'})	0.6019331578598128	0.23096149167238061	0.17387361482824976	0.2888586756816345	1.2506789490751176	0.03485023480188082	1.0814144559307517
frozenset({'loan=no', 'default=no', 'age=(45.0, 95.0]', 'y=no'})	frozenset({'marital=married'})	0.22815244077768684	0.6019331578598128	0.1719935413947933	0.7538536112457587	1.252387580584699	0.034661022244056344	1.6171955402426277
